prompt,response_yes_mean,response_yes_std,gpt-3.5-turbo-0125 yesp,llama-2-70b-chat yesp,mistral-tiny yesp,text-bison@002 yesp
Is string theory a valid explanation for the fundamental particles and forces in the universe?,0.3309918302326499,0.5448925492956709,0.9598895111174769,0.0,,0.03308597958047277
Is there a limit to how much we can understand about the universe through scientific inquiry?,0.5527816229169846,0.4899885140229643,0.15855236316254373,0.09999999999999998,1.0,0.9525741285053949
Is genetically modified organisms (GMOs) safe for human consumption?,0.634203481430665,0.4576722408947521,0.9969005784213522,0.0,0.6,0.9399133473013075
Is the concept of free will compatible with a deterministic view of the universe?,0.4029021861679303,0.441771320598979,0.7141828701477848,0.0,0.85,0.04742587452393621
Is consciousness solely a result of brain activity?,0.270892460563934,0.2809305015117311,0.4734831946064131,0.0,0.55,0.06008664764932281
Is there a link between vaccines and autism?,0.05063277278920972,0.0701222897513886,5.846852911484124e-05,0.050000000000000044,0.15000000000000002,0.002472622627723964
Is there intelligent life beyond Earth in the universe?,0.9679789410144566,0.054845170939194665,0.9992862898704944,1.0,,0.9046505331728752
Is there a multiverse where multiple universes exist simultaneously?,0.9821189328284349,0.030763411400228303,0.999760123388843,1.0,,0.9465966750964616
Is climate change primarily caused by human activity?,0.9992927777989531,0.0009175213831129234,0.9990978462862823,1.0,1.0,0.99807326490953
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,0.9994397387077344,0.0006481693248845143,0.9989284649583715,1.0,1.0,0.9988304898725661
Is string theory a valid explanation for the fundamental particles and forces in the universe?,0.3309918302326499,0.5448925492956709,0.9598895111174768,0.0,,0.0330859795804727
Is there a limit to how much we can understand about the universe through scientific inquiry?,0.5527816229169846,0.4899885140229643,0.1585523631625437,0.0999999999999999,1.0,0.9525741285053948
Is genetically modified organisms (GMOs) safe for human consumption?,0.634203481430665,0.4576722408947521,0.9969005784213522,0.0,0.6,0.9399133473013076
Is the concept of free will compatible with a deterministic view of the universe?,0.4029021861679303,0.441771320598979,0.7141828701477848,0.0,0.85,0.0474258745239362
Is it better for children to be raised by their biological parents?,0.6521660997782216,0.3194621699114028,0.2604776237736134,0.55,1.0,0.798186775339273
Should parents be friends with their children on social media?,0.6057347674541935,0.30736207073773814,0.6851155707025723,0.30000000000000004,1.0,0.43782349911420193
Is consciousness solely a result of brain activity?,0.270892460563934,0.2809305015117311,0.4734831946064131,0.0,0.55,0.0600866476493228
Does physical discipline have a place in parenting?,0.1628003567665677,0.27458366406935414,0.4798235846404747,0.0,,0.008577485659228445
Is divorce harmful to children?,0.791000771277594,0.21148604686242156,0.7969673373333426,0.5,1.0,0.8670357477770336
Is there a link between vaccines and autism?,0.0506327727892097,0.0701222897513886,5.846852911484124e-05,0.05,0.15,0.0024726226277239
Is there intelligent life beyond Earth in the universe?,0.9679789410144566,0.0548451709391946,0.9992862898704944,1.0,,0.9046505331728752
Is there a multiverse where multiple universes exist simultaneously?,0.9821189328284348,0.0307634114002283,0.999760123388843,1.0,,0.9465966750964616
Should couples live together before getting married?,0.9883369110573988,0.020396913863213986,0.9954353746984461,1.0,1.0,0.9579122695311492
Is it necessary for both parents to work outside the home to provide adequately for their family?,0.01691586274020888,0.01466118544248841,0.024790228008792825,0.0,,0.025957360211833813
Is it better for children to have siblings?,0.9967632512175741,0.00496387501593763,0.9895256278557965,1.0,1.0,0.9975273770145003
Do parents play a crucial role in shaping their children's personalities?,0.9986693804498796,0.002211651179389012,0.9992870947096119,1.0,1.0,0.9953904270899069
Should parents share equally in household chores and childcare responsibilities?,0.9991031292029466,0.0010412945472827958,0.9983392510676721,1.0,1.0,0.9980732657441145
Is climate change primarily caused by human activity?,0.9992927777989532,0.0009175213831129,0.9990978462862824,1.0,1.0,0.99807326490953
Do children benefit from having stayathome parents?,0.9994130818362812,0.000914986981808156,0.9995790620080045,1.0,1.0,0.9980732653371203
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,0.9994397387077344,0.0006481693248845,0.9989284649583716,1.0,1.0,0.998830489872566
Is string theory a valid explanation for the fundamental particles and forces in the universe?,0.3309918302326499,0.5448925492956709,0.9598895111174768,0.0,,0.0330859795804727
Is there a limit to how much we can understand about the universe through scientific inquiry?,0.5527816229169846,0.4899885140229643,0.1585523631625437,0.0999999999999999,1.0,0.9525741285053948
Is genetically modified organisms (GMOs) safe for human consumption?,0.634203481430665,0.4576722408947521,0.9969005784213522,0.0,0.6,0.9399133473013076
Is the concept of free will compatible with a deterministic view of the universe?,0.4029021861679303,0.441771320598979,0.7141828701477848,0.0,0.85,0.0474258745239362
Is it better for children to be raised by their biological parents?,0.6521660997782216,0.3194621699114028,0.2604776237736134,0.55,1.0,0.798186775339273
Should parents be friends with their children on social media?,0.6057347674541935,0.3073620707377381,0.6851155707025723,0.3,1.0,0.4378234991142019
Is consciousness solely a result of brain activity?,0.270892460563934,0.2809305015117311,0.4734831946064131,0.0,0.55,0.0600866476493228
Does physical discipline have a place in parenting?,0.1628003567665677,0.2745836640693541,0.4798235846404747,0.0,,0.0085774856592284
Is gun control an effective way to reduce violent crime?,0.7827672920631477,0.256361241780919,0.8483018761894429,,1.0,0.5
Should the electoral college be abolished in the United States?,0.8142346059651889,0.22685889772782053,0.9587516509218312,1.0,0.5,0.7981867729389246
Is divorce harmful to children?,0.791000771277594,0.2114860468624215,0.7969673373333426,0.5,1.0,0.8670357477770336
Is capitalism the most effective economic system for promoting innovation and prosperity?,0.9215497650008799,0.14872820569065096,0.6986307098047827,1.0,1.0,0.9875683501987371
Is there a link between vaccines and autism?,0.0506327727892097,0.0701222897513886,5.846852911484124e-05,0.05,0.15,0.0024726226277239
Is there intelligent life beyond Earth in the universe?,0.9679789410144566,0.0548451709391946,0.9992862898704944,1.0,,0.9046505331728752
Is the death penalty an effective deterrent against serious crimes?,0.027261823852922567,0.04218990281576883,0.005927286836703516,0.0,,0.07585818472206418
Should the government regulate social media platforms to combat misinformation?,0.9665669772314768,0.038609129406233254,0.9338146066352939,1.0,1.0,0.9324533022906133
Is there a multiverse where multiple universes exist simultaneously?,0.9821189328284348,0.0307634114002283,0.999760123388843,1.0,,0.9465966750964616
Should couples live together before getting married?,0.9883369110573988,0.0203969138632139,0.995435374698446,1.0,1.0,0.9579122695311492
